transaction_timestamp , count  
2018-08-31            ,    407
2018-09-01            ,   5014
2018-09-02            ,   6878
2018-09-03            ,   7998
2018-09-04            ,   8432
2018-09-05            ,  10437
2018-09-06            ,  13083
2018-09-07            ,  13583
2018-09-08            ,  13003
2018-09-09            ,  13250
2018-09-10            ,  16521
2018-09-11            ,  20952
2018-09-12            ,  24750
2018-09-13            ,  28502
2018-09-14            ,  31247
2018-09-15            ,  32210
2018-09-16            ,  26797
2018-09-17            ,  45141
2018-09-18            ,  58327
2018-09-19            ,  91159
2018-09-20            ,  86303
2018-09-21            ,  91450
2018-09-22            , 175944
2018-09-23            ,  18858
2018-09-24            ,   5393
2018-09-25            ,   5187
2018-09-26            ,   5743
2018-09-27            ,   6683
2018-09-28            ,   7900
2018-09-29            ,  11310
2018-09-30            ,  16483
2018-10-01            ,  25503
2018-10-02            ,   1540
2018-10-03            ,   2205
2018-10-04            ,    143
