reg_timestamp , count  
2018-08-31    ,   3949
2018-09-01    ,  36442
2018-09-02    ,  23570
2018-09-03    ,  25603
2018-09-04    ,  24633
2018-09-05    ,  24532
2018-09-06    ,  27095
2018-09-07    ,  25552
2018-09-08    ,  23701
2018-09-09    ,  24514
2018-09-10    ,  30722
2018-09-11    ,  34652
2018-09-12    ,  36061
2018-09-13    ,  36831
2018-09-14    ,  40405
2018-09-15    ,  38059
2018-09-16    ,  39209
2018-09-17    ,  57651
2018-09-18    ,  70416
2018-09-19    ,  96344
2018-09-20    , 115097
2018-09-21    ,  84981
2018-09-22    ,  62493
2018-09-23    ,  14634
2018-09-24    ,   8540
2018-09-25    ,   7570
2018-09-26    ,   7947
2018-09-27    ,   8003
2018-09-28    ,   8435
2018-09-29    ,  10335
2018-09-30    ,  13165
2018-10-01    ,  16524
2018-10-02    ,    615
